Pathway1_level	Pathway1	Pathway2_level	Pathway2	Pathway3_level	Pathway3
ko09100	Metabolism	ko09101	Carbohydrate metabolism	ko00010	Glycolysis / Gluconeogenesis [PATH:ko00010]
ko09100	Metabolism	ko09101	Carbohydrate metabolism	ko00020	Citrate cycle (TCA cycle) [PATH:ko00020]
ko09100	Metabolism	ko09101	Carbohydrate metabolism	ko00030	Pentose phosphate pathway [PATH:ko00030]
ko09100	Metabolism	ko09101	Carbohydrate metabolism	ko00040	Pentose and glucuronate interconversions [PATH:ko00040]
ko09100	Metabolism	ko09101	Carbohydrate metabolism	ko00051	Fructose and mannose metabolism [PATH:ko00051]
ko09100	Metabolism	ko09101	Carbohydrate metabolism	ko00052	Galactose metabolism [PATH:ko00052]
ko09100	Metabolism	ko09101	Carbohydrate metabolism	ko00053	Ascorbate and aldarate metabolism [PATH:ko00053]
ko09100	Metabolism	ko09101	Carbohydrate metabolism	ko00500	Starch and sucrose metabolism [PATH:ko00500]
ko09100	Metabolism	ko09101	Carbohydrate metabolism	ko00520	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]
ko09100	Metabolism	ko09101	Carbohydrate metabolism	ko00562	Inositol phosphate metabolism [PATH:ko00562]
ko09100	Metabolism	ko09101	Carbohydrate metabolism	ko00620	Pyruvate metabolism [PATH:ko00620]
ko09100	Metabolism	ko09101	Carbohydrate metabolism	ko00630	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]
ko09100	Metabolism	ko09101	Carbohydrate metabolism	ko00640	Propanoate metabolism [PATH:ko00640]
ko09100	Metabolism	ko09101	Carbohydrate metabolism	ko00650	Butanoate metabolism [PATH:ko00650]
ko09100	Metabolism	ko09101	Carbohydrate metabolism	ko00660	C5-Branched dibasic acid metabolism [PATH:ko00660]
ko09100	Metabolism	ko09102	Energy metabolism	ko00190	Oxidative phosphorylation [PATH:ko00190]
ko09100	Metabolism	ko09102	Energy metabolism	ko00195	Photosynthesis [PATH:ko00195]
ko09100	Metabolism	ko09102	Energy metabolism	ko00196	Photosynthesis - antenna proteins [PATH:ko00196]
ko09100	Metabolism	ko09102	Energy metabolism	ko00680	Methane metabolism [PATH:ko00680]
ko09100	Metabolism	ko09102	Energy metabolism	ko00710	Carbon fixation in photosynthetic organisms [PATH:ko00710]
ko09100	Metabolism	ko09102	Energy metabolism	ko00720	Carbon fixation pathways in prokaryotes [PATH:ko00720]
ko09100	Metabolism	ko09102	Energy metabolism	ko00910	Nitrogen metabolism [PATH:ko00910]
ko09100	Metabolism	ko09102	Energy metabolism	ko00920	Sulfur metabolism [PATH:ko00920]
ko09100	Metabolism	ko09103	Lipid metabolism	ko00061	Fatty acid biosynthesis [PATH:ko00061]
ko09100	Metabolism	ko09103	Lipid metabolism	ko00062	Fatty acid elongation [PATH:ko00062]
ko09100	Metabolism	ko09103	Lipid metabolism	ko00071	Fatty acid degradation [PATH:ko00071]
ko09100	Metabolism	ko09103	Lipid metabolism	ko00072	Synthesis and degradation of ketone bodies [PATH:ko00072]
ko09100	Metabolism	ko09103	Lipid metabolism	ko00073	Cutin, suberine and wax biosynthesis [PATH:ko00073]
ko09100	Metabolism	ko09103	Lipid metabolism	ko00100	Steroid biosynthesis [PATH:ko00100]
ko09100	Metabolism	ko09103	Lipid metabolism	ko00120	Primary bile acid biosynthesis [PATH:ko00120]
ko09100	Metabolism	ko09103	Lipid metabolism	ko00121	Secondary bile acid biosynthesis [PATH:ko00121]
ko09100	Metabolism	ko09103	Lipid metabolism	ko00140	Steroid hormone biosynthesis [PATH:ko00140]
ko09100	Metabolism	ko09103	Lipid metabolism	ko00561	Glycerolipid metabolism [PATH:ko00561]
ko09100	Metabolism	ko09103	Lipid metabolism	ko00564	Glycerophospholipid metabolism [PATH:ko00564]
ko09100	Metabolism	ko09103	Lipid metabolism	ko00565	Ether lipid metabolism [PATH:ko00565]
ko09100	Metabolism	ko09103	Lipid metabolism	ko00590	Arachidonic acid metabolism [PATH:ko00590]
ko09100	Metabolism	ko09103	Lipid metabolism	ko00591	Linoleic acid metabolism [PATH:ko00591]
ko09100	Metabolism	ko09103	Lipid metabolism	ko00592	alpha-Linolenic acid metabolism [PATH:ko00592]
