transcript_id	length.x	Raw count (GSNO_1)	Raw count (GSNO_2)	Raw count (GSNO_3)	Raw count (wt_1)	Raw count (wt_2)	Raw count (wt_3)	FPKM (GSNO_1)	FPKM (GSNO_2)	FPKM (GSNO_3)	FPKM (wt_1)	FPKM (wt_2)	FPKM (wt_3)	logFC (GSNO_1-wt_1)	logFC (GSNO_2-wt_2)	logFC (GSNO_3-wt_3)	logFC (GSNO_1,GSNO_2,GSNO_3-wt_1,wt_2,wt_3)	pvalue (GSNO_1-wt_1)	pvalue (GSNO_2-wt_2)	pvalue (GSNO_3-wt_3)	UniprotKB_gene.x	pident.x	length.y	mismatch.x	gapopen.x	qstart.x	qend.x	sstart.x	send.x	evalue.x	bitscore.x	UniprotKB_gene.y	pident.y	length	mismatch.y	gapopen.y	qstart.y	qend.y	sstart.y	send.y	evalue.y	bitscore.y	Pfam	SignalP	TmHMM	COGs (eggnog)	GOs	KEGGs	EC number
TRINITY_DN0_c0_g1_i1	352	1	0	1	6	10	6	1147.86	0	1333.53	8052.39	13712.34	10444.45	-2.53510537208044	-	-2.66271633307615	-2.60872629966059	0.18695652173913	-	0.18695652173913	FMP45_YEAST	61.261	111	43	0	1	111	89	199	2.93e-42	143	FMP45_YEAST	61.261	111	43	0	2	334	89	199	3.25e-42	143	.	.	.	.	GO:0005938, cellular_component, cell cortex | GO:0016021, cellular_component, integral component of membrane | GO:0045121, cellular_component, membrane raft | GO:0005886, cellular_component, plasma membrane | GO:0030437, biological_process, ascospore formation | GO:0030866, biological_process, cortical actin cytoskeleton organization | GO:0006897, biological_process, endocytosis | GO:0031505, biological_process, fungal-type cell wall organization | GO:0032185, biological_process, septin cytoskeleton organization | 	.	-
TRINITY_DN0_c0_g2_i1	199	0	0	0	0	3	0	0	0	0	0	12501.77	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	FMP45_YEAST	64.615	65	23	0	197	3	28	92	1.8e-25	97.8	-	-	-	-	-	-	-
TRINITY_DN101_c0_g1_i1	226	3	2	3	7	6	8	8186.41	5223.35	9180.71	21361.52	18458.41	36057.96	-1.28291985894234	-1.73911149654084	-1.60525100496658	-1.13273107008048	0.442578710644678	0.372946859903382	0.251568225104038	-	-	-	-	-	-	-	-	-	-	-	DIF1_ZYGRC	43.82	89	28	4	19	225	7	93	1.07e-12	61.2	.	.	.	.	GO:0005737, cellular_component, cytoplasm | GO:0005634, cellular_component, nucleus | 	.	-
TRINITY_DN104_c0_g1_i1	234	3	2	1	1	0	0	7534.83	4817.49	2829.71	2825.11	0	0	1.38457557438005	-	-	-	0.658385093167702	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	.	.	.	.	.	.	-
TRINITY_DN105_c0_g1_i1	198	0	1	0	0	1	0	0	3684.68	0	0	4222.1	0	-	-0.19611189703608	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	RDL1_YEAST	59.091	66	27	0	1	198	61	126	9.84e-24	89.4	.	.	.	.	GO:0005739, cellular_component, mitochondrion | GO:0004792, molecular_function, thiosulfate sulfurtransferase activity | 	.	2.8.1.1,2,2.8,2.8.1
TRINITY_DN105_c0_g2_i1	230	0	0	1	6	7	1	0	0	2940.54	17604.55	20724.84	4301.26	-	-	-0.207323268348693	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	RDL1_YEAST	58.824	68	27	1	201	1	1	68	5.31e-24	90.5	.	.	.	.	GO:0005739, cellular_component, mitochondrion | GO:0004792, molecular_function, thiosulfate sulfurtransferase activity | 	.	2.8.1.1,2,2.8,2.8.1
TRINITY_DN106_c0_g1_i1	175	0	0	0	0	1	2	0	0	0	0	6015.44	20693.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	BDH1_YEAST	51.724	58	28	0	1	174	76	133	1.66e-12	63.2	.	.	.	.	GO:0005737, cellular_component, cytoplasm | GO:0000721, molecular_function, (R,R)-butanediol dehydrogenase activity | GO:0008270, molecular_function, zinc ion binding | GO:0006066, biological_process, alcohol metabolic process | GO:0034079, biological_process, butanediol biosynthetic process | 	KO:K00004.	1.1.1.4,1,1.1,1.1.1
TRINITY_DN106_c0_g2_i1	210	0	0	0	1	0	1	0	0	0	3631.1	0	5548.99	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	BDH1_YEAST	69.565	69	21	0	3	209	11	79	3.32e-28	106	-	-	-	-	-	-	-
TRINITY_DN108_c0_g1_i1	473	60	38	27	8	12	4	44172.7	27403.62	23323.68	6971.22	10716.08	4332	2.79170401060003	1.43367568743673	2.48804656439828	2.43167600562849	0.00098514903877779	0.0920470904013711	0.0103313122846097	RL21A_YEAST	93.878	147	9	0	11	157	1	147	1.65e-101	291	RL21A_YEAST	93.878	147	9	0	442	2	1	147	1.83e-101	291	-	-	-	-	-	-	-
TRINITY_DN110_c0_g1_i1	159	0	0	0	1	1	0	0	0	0	8671.15	8389.68	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	.	.	.	.	.	.	-
